Date,Open,High,Low,Close,Adj_Close,Volume
2011-01-03,15.52,15.97,15.5,15.82,14.677008,20436200
2011-01-04,15.85,15.92,15.42,15.77,14.630622,16284600
2011-01-05,16.059999,17,15.9,16.98,15.753201,35705400
2011-01-06,17.42,19.34,17.370001,19.33,17.933416,87332800
2011-01-07,19.110001,19.93,18.68,19.870001,18.434401,64499600
2011-01-10,19.51,20.67,19.360001,20.629999,19.139486,43758700
2011-01-11,20.91,21.110001,19.870001,20.309999,18.842609,67777200
2011-01-12,20.32,23.370001,20.25,23.35,21.662971,85797400
2011-01-13,23.1,23.84,22.379999,23.389999,21.700079,67379800
2011-01-14,22.99,23.98,22.85,23.59,21.885632,39883800
2011-01-18,23.27,23.43,22.469999,23.040001,21.37537,45333700
2011-01-19,23.049999,23.6,22.360001,22.41,20.790882,29947400
2011-01-20,22.190001,22.559999,21.790001,22.43,20.809439,27785200
2011-01-21,22.67,22.99,22.18,22.219999,20.614613,18481100
2011-01-24,23.24,25.049999,22.98,24.73,22.94327,51422500
2011-01-25,24.620001,24.879999,23.809999,23.969999,22.238174,27171400
2011-01-26,24.219999,25,24.049999,24.540001,22.766996,26866500
2011-01-27,24.889999,24.950001,24,24.469999,22.702045,16434900
2011-01-28,24.530001,24.940001,23.200001,23.76,22.043348,27369900
2011-01-31,23.799999,24.25,23.41,23.92,22.191788,18754000
2011-02-01,24.129999,24.65,23.969999,24.469999,22.702045,16352600
2011-02-02,24.33,26.17,24.33,25.58,23.731855,40165400
2011-02-03,25.620001,25.620001,24.549999,25.1,23.286535,25769400
2011-02-04,25.450001,25.870001,25.35,25.67,23.815348,21822500
2011-02-07,25.32,25.43,24.51,24.6,22.822659,23355900
2011-02-08,24.629999,24.790001,23.76,23.870001,22.145403,26914600
2011-02-09,23.959999,24.200001,22.860001,23.290001,21.607307,31938000
2011-02-10,22.77,23.209999,22.6,22.82,21.171255,26058800
2011-02-11,22.74,24.209999,22.370001,23.469999,21.7743,33981900
2011-02-14,23.75,24.5,23.02,23.110001,21.440313,32195700
2011-02-15,23.15,23.23,22.450001,22.549999,20.920769,22174500
2011-02-16,22.85,23.709999,22.77,23.379999,21.690798,32959100
2011-02-17,22.719999,26.01,22.610001,25.68,23.824629,86752400
2011-02-18,25.540001,25.950001,25.23,25.629999,23.778233,34860300
2011-02-22,24.790001,24.860001,23.129999,23.209999,21.533083,34916200
2011-02-23,23.209999,23.43,21.780001,22.110001,20.51256,37290100
2011-02-24,22.219999,23.040001,22.059999,22.65,21.013544,31153000
2011-02-25,23.26,23.5,22.940001,23.120001,21.449591,19391300
2011-02-28,23.5,23.51,22.139999,22.66,21.022821,22592400
2011-03-01,22.700001,22.99,21.65,21.65,20.085796,24711200
2011-03-02,21.620001,22.030001,20.25,20.75,19.250818,42953500
2011-03-03,21.23,21.35,20.24,20.870001,19.362154,39842600
2011-03-04,20.889999,21.1,20.530001,20.76,19.260098,23994000
2011-03-07,20.91,20.98,19.950001,20.469999,18.991045,25478500
2011-03-08,20.690001,20.799999,19.120001,19.549999,18.13752,48679600
2011-03-09,19.49,19.68,18.969999,19.139999,17.757139,32974400
2011-03-10,18.700001,18.84,17.9,17.92,16.625288,43068400
2011-03-11,18.07,18.549999,17.66,18.049999,16.74589,37170800
2011-03-14,18.190001,18.65,17.9,18.200001,16.885057,25084000
2011-03-15,17.309999,17.959999,17.01,17.66,16.384068,31407000
2011-03-16,17.5,18.35,17.299999,17.530001,16.263462,36913000
2011-03-17,18,18.030001,17.200001,17.860001,16.569622,30962900
2011-03-18,18.139999,18.200001,17.6,17.620001,16.346956,22174000
2011-03-21,18,18.18,17.58,17.76,16.476847,18795800
2011-03-22,17.709999,17.879999,17.370001,17.450001,16.189247,17958300
2011-03-23,17.42,17.860001,17.040001,17.809999,16.523235,19559900
2011-03-24,18.190001,19.450001,18.15,19.23,17.840633,44514800
2011-03-25,19.4,19.450001,18.6,18.629999,17.283987,29909800
2011-03-28,19.07,19.639999,18.9,19.32,17.924135,30107100
2011-03-29,19.32,19.389999,18.91,19.17,17.784973,17894100
2011-03-30,19.32,19.4,18.209999,18.450001,17.116993,29408000
2011-03-31,18.48,18.68,18.120001,18.459999,17.12627,16377800
2011-04-01,18.700001,18.719999,17.950001,18.200001,16.885057,21251800
2011-04-04,18.200001,18.25,17.42,17.549999,16.282015,23108200
2011-04-05,17.809999,17.950001,17.540001,17.58,16.309847,20526900
2011-04-06,17.709999,17.73,17.309999,17.459999,16.198521,21424600
2011-04-07,17.5,18.209999,17.43,18.1,16.79228,25530200
2011-04-08,18.24,18.24,17.5,17.549999,16.282015,18663800
2011-04-11,17.620001,17.709999,17.129999,17.32,16.068634,13655200
2011-04-12,17.15,17.49,16.83,17.370001,16.115021,21018900
2011-04-13,17.549999,17.870001,17.33,17.76,16.476847,18739700
2011-04-14,17.6,18.52,17.5,18.51,17.172659,31367600
2011-04-15,18.370001,18.940001,18.280001,18.709999,17.358208,24243000
2011-04-18,18.27,18.389999,17.799999,18.09,16.783005,18589600
2011-04-19,18.1,18.17,17.530001,18.02,16.718065,16496500
2011-04-20,18.68,18.950001,18.27,18.57,17.228327,16262900
2011-04-21,18.77,18.889999,18.48,18.52,17.181936,10532500
2011-04-25,18.6,19.120001,18.59,18.809999,17.450983,15490300
