# This file is automatically generated by the curve_fit function
param n := 100 ;
param m := 2 ;
param X := 
1 1 1.000000e+00
1 2 0.000000e+00
2 1 1.000000e+00
2 2 1.010101e-02
3 1 1.000000e+00
3 2 2.020202e-02
4 1 1.000000e+00
4 2 3.030303e-02
5 1 1.000000e+00
5 2 4.040404e-02
6 1 1.000000e+00
6 2 5.050505e-02
7 1 1.000000e+00
7 2 6.060606e-02
8 1 1.000000e+00
8 2 7.070707e-02
9 1 1.000000e+00
9 2 8.080808e-02
10 1 1.000000e+00
10 2 9.090909e-02
11 1 1.000000e+00
11 2 1.010101e-01
12 1 1.000000e+00
12 2 1.111111e-01
13 1 1.000000e+00
13 2 1.212121e-01
14 1 1.000000e+00
14 2 1.313131e-01
15 1 1.000000e+00
15 2 1.414141e-01
16 1 1.000000e+00
16 2 1.515152e-01
17 1 1.000000e+00
17 2 1.616162e-01
18 1 1.000000e+00
18 2 1.717172e-01
19 1 1.000000e+00
19 2 1.818182e-01
20 1 1.000000e+00
20 2 1.919192e-01
21 1 1.000000e+00
21 2 2.020202e-01
22 1 1.000000e+00
22 2 2.121212e-01
23 1 1.000000e+00
23 2 2.222222e-01
24 1 1.000000e+00
24 2 2.323232e-01
25 1 1.000000e+00
25 2 2.424242e-01
26 1 1.000000e+00
26 2 2.525253e-01
27 1 1.000000e+00
27 2 2.626263e-01
28 1 1.000000e+00
28 2 2.727273e-01
29 1 1.000000e+00
29 2 2.828283e-01
30 1 1.000000e+00
30 2 2.929293e-01
31 1 1.000000e+00
31 2 3.030303e-01
32 1 1.000000e+00
32 2 3.131313e-01
33 1 1.000000e+00
33 2 3.232323e-01
34 1 1.000000e+00
34 2 3.333333e-01
35 1 1.000000e+00
35 2 3.434343e-01
36 1 1.000000e+00
36 2 3.535354e-01
37 1 1.000000e+00
37 2 3.636364e-01
38 1 1.000000e+00
38 2 3.737374e-01
39 1 1.000000e+00
39 2 3.838384e-01
40 1 1.000000e+00
40 2 3.939394e-01
41 1 1.000000e+00
41 2 4.040404e-01
42 1 1.000000e+00
42 2 4.141414e-01
43 1 1.000000e+00
43 2 4.242424e-01
44 1 1.000000e+00
44 2 4.343434e-01
45 1 1.000000e+00
45 2 4.444444e-01
46 1 1.000000e+00
46 2 4.545455e-01
47 1 1.000000e+00
47 2 4.646465e-01
48 1 1.000000e+00
48 2 4.747475e-01
49 1 1.000000e+00
49 2 4.848485e-01
50 1 1.000000e+00
50 2 4.949495e-01
