# This file is automatically generated by the logreg_clas function
param m := 100 ;
param n := 3 ;
param Xa := 
1 1 1.000000e+00
1 2 8.199972e+00
1 3 1.450601e+00
2 1 1.000000e+00
2 2 4.028679e+00
2 3 2.422099e+00
3 1 1.000000e+00
3 2 9.336195e+00
3 3 9.568818e+00
4 1 1.000000e+00
4 2 8.811810e+00
4 3 3.446098e-01
5 1 1.000000e+00
5 2 5.555534e+00
5 3 8.313036e+00
6 1 1.000000e+00
6 2 8.179355e+00
6 3 2.426998e+00
7 1 1.000000e+00
7 2 4.973467e+00
7 3 5.638427e+00
8 1 1.000000e+00
8 2 6.490652e+00
8 3 1.430789e+00
9 1 1.000000e+00
9 2 1.473792e+00
9 3 7.000215e+00
10 1 1.000000e+00
10 2 1.221327e+00
10 3 3.461255e+00
11 1 1.000000e+00
11 2 3.043761e+00
11 3 7.614767e+00
12 1 1.000000e+00
12 2 4.186441e-01
12 3 2.351106e+00
13 1 1.000000e+00
13 2 2.965666e+00
13 3 2.294482e+00
14 1 1.000000e+00
14 2 5.231034e+00
14 3 5.472420e+00
15 1 1.000000e+00
15 2 6.774914e+00
15 3 1.521005e+00
16 1 1.000000e+00
16 2 2.511389e+00
16 3 2.860687e+00
17 1 1.000000e+00
17 2 5.208938e-01
17 3 2.304913e+00
18 1 1.000000e+00
18 2 2.651341e+00
18 3 8.807363e+00
19 1 1.000000e+00
19 2 7.079959e+00
19 3 4.867300e+00
20 1 1.000000e+00
20 2 8.830829e-01
20 3 8.883835e+00
21 1 1.000000e+00
21 2 2.082967e+00
21 3 3.357163e+00
22 1 1.000000e+00
22 2 8.596796e+00
22 3 6.647675e+00
23 1 1.000000e+00
23 2 4.332271e+00
23 3 5.450641e+00
24 1 1.000000e+00
24 2 5.086406e+00
24 3 4.963734e+00
25 1 1.000000e+00
25 2 9.672008e+00
25 3 8.597637e+00
26 1 1.000000e+00
26 2 4.320951e+00
26 3 2.467104e+00
27 1 1.000000e+00
27 2 5.595068e+00
27 3 5.190685e+00
28 1 1.000000e+00
28 2 5.327215e+00
28 3 2.811399e+00
29 1 1.000000e+00
29 2 3.477403e+00
29 3 6.641581e+00
30 1 1.000000e+00
30 2 1.095830e+00
30 3 5.589105e+00
31 1 1.000000e+00
31 2 3.325728e-01
31 3 8.311616e+00
32 1 1.000000e+00
32 2 1.281251e+00
32 3 4.666657e+00
33 1 1.000000e+00
33 2 9.884834e+00
33 3 6.974631e-01
34 1 1.000000e+00
34 2 8.243825e+00
34 3 9.045598e+00
35 1 1.000000e+00
35 2 3.317468e+00
35 3 2.108251e+00
36 1 1.000000e+00
36 2 3.417426e+00
36 3 1.690693e+00
37 1 1.000000e+00
37 2 7.267494e+00
37 3 6.527501e+00
38 1 1.000000e+00
38 2 2.664872e+00
38 3 5.227768e+00
39 1 1.000000e+00
39 2 8.240962e-01
39 3 1.394401e+00
40 1 1.000000e+00
40 2 6.494963e-01
40 3 4.434752e+00
41 1 1.000000e+00
41 2 8.340091e+00
41 3 1.382893e+00
42 1 1.000000e+00
42 2 8.850828e+00
42 3 3.606275e+00
43 1 1.000000e+00
43 2 6.314992e+00
43 3 3.338257e+00
44 1 1.000000e+00
44 2 5.584544e-01
44 3 8.996529e+00
45 1 1.000000e+00
45 2 1.532678e+00
45 3 4.960368e+00
46 1 1.000000e+00
46 2 9.511918e+00
46 3 1.958993e+00
47 1 1.000000e+00
47 2 6.091907e+00
47 3 3.632381e-01
48 1 1.000000e+00
48 2 4.657644e+00
48 3 2.384985e+00
49 1 1.000000e+00
49 2 3.007466e+00
49 3 5.208900e+00
50 1 1.000000e+00
50 2 9.372596e+00
50 3 6.050324e+00
51 1 1.000000e+00
51 2 8.033060e+00
51 3 3.241159e+00
52 1 1.000000e+00
52 2 6.917814e+00
52 3 1.134305e+00
53 1 1.000000e+00
53 2 2.131695e+00
53 3 8.064930e+00
54 1 1.000000e+00
54 2 8.314984e+00
54 3 9.000472e+00
55 1 1.000000e+00
55 2 6.119257e+00
55 3 4.399240e+00
56 1 1.000000e+00
56 2 8.213742e+00
56 3 6.054215e+00
57 1 1.000000e+00
57 2 8.273920e+00
57 3 8.344640e+00
58 1 1.000000e+00
58 2 6.842583e-01
58 3 2.771386e+00
59 1 1.000000e+00
59 2 3.018714e-01
59 3 1.072670e+00
60 1 1.000000e+00
60 2 8.473424e-01
60 3 1.143070e+00
61 1 1.000000e+00
61 2 3.304157e+00
61 3 3.961821e+00
62 1 1.000000e+00
62 2 4.765129e+00
62 3 6.595319e+00
63 1 1.000000e+00
63 2 4.097891e+00
63 3 2.571894e+00
64 1 1.000000e+00
64 2 1.752234e+00
64 3 4.404048e+00
65 1 1.000000e+00
65 2 6.007890e+00
65 3 3.760120e+00
66 1 1.000000e+00
66 2 9.553030e+00
66 3 7.990293e+00
67 1 1.000000e+00
67 2 6.035070e+00
67 3 6.778133e+00
68 1 1.000000e+00
68 2 6.160223e+00
68 3 2.431896e+00
69 1 1.000000e+00
69 2 7.190662e-01
69 3 3.314634e+00
70 1 1.000000e+00
70 2 2.015710e+00
70 3 9.576461e+00
71 1 1.000000e+00
71 2 1.700346e+00
71 3 1.695075e+00
72 1 1.000000e+00
72 2 5.092909e+00
72 3 3.001016e+00
73 1 1.000000e+00
73 2 4.982009e+00
73 3 9.474059e-01
74 1 1.000000e+00
74 2 5.599914e+00
74 3 8.750408e+00
75 1 1.000000e+00
75 2 6.912248e+00
75 3 3.990211e-01
76 1 1.000000e+00
76 2 6.159146e+00
76 3 1.400157e+00
77 1 1.000000e+00
77 2 6.811667e+00
77 3 4.191187e+00
78 1 1.000000e+00
78 2 7.953284e+00
78 3 3.061920e+00
79 1 1.000000e+00
79 2 3.993297e+00
79 3 1.378309e+00
80 1 1.000000e+00
80 2 7.934980e+00
80 3 6.920728e+00
81 1 1.000000e+00
81 2 3.197667e+00
81 3 2.960635e+00
82 1 1.000000e+00
82 2 4.169080e+00
82 3 4.219000e+00
83 1 1.000000e+00
83 2 6.490083e+00
83 3 5.927969e+00
84 1 1.000000e+00
84 2 2.263181e+00
84 3 4.789048e+00
85 1 1.000000e+00
85 2 3.756990e+00
85 3 8.352935e+00
86 1 1.000000e+00
86 2 6.099537e+00
86 3 3.286272e+00
87 1 1.000000e+00
87 2 8.805974e-01
87 3 4.098322e+00
88 1 1.000000e+00
88 2 1.648093e+00
88 3 7.535261e-01
89 1 1.000000e+00
89 2 3.046050e+00
89 3 9.073612e+00
90 1 1.000000e+00
90 2 2.681625e+00
90 3 8.905217e+00
91 1 1.000000e+00
91 2 3.313587e+00
91 3 3.769914e+00
92 1 1.000000e+00
92 2 8.344524e+00
92 3 9.673126e+00
93 1 1.000000e+00
93 2 5.716143e+00
93 3 4.677749e+00
94 1 1.000000e+00
94 2 2.947647e+00
94 3 3.188940e+00
95 1 1.000000e+00
95 2 9.099404e-02
95 3 4.696388e+00
96 1 1.000000e+00
96 2 8.909049e+00
96 3 1.282394e+00
97 1 1.000000e+00
97 2 4.156130e+00
97 3 7.925874e+00
98 1 1.000000e+00
98 2 7.499852e+00
98 3 2.088636e+00
99 1 1.000000e+00
99 2 4.100989e+00
99 3 1.201850e+00
100 1 1.000000e+00
100 2 5.475061e+00
100 3 6.178231e+00
;
param Y := 
1 0.000000e+00
2 0.000000e+00
3 0.000000e+00
4 0.000000e+00
5 0.000000e+00
6 0.000000e+00
7 0.000000e+00
8 0.000000e+00
9 1.000000e+00
10 1.000000e+00
11 0.000000e+00
12 1.000000e+00
13 0.000000e+00
14 0.000000e+00
15 0.000000e+00
16 0.000000e+00
17 1.000000e+00
18 1.000000e+00
19 0.000000e+00
20 1.000000e+00
21 0.000000e+00
22 0.000000e+00
23 0.000000e+00
24 0.000000e+00
25 0.000000e+00
26 0.000000e+00
27 0.000000e+00
28 0.000000e+00
29 0.000000e+00
30 1.000000e+00
31 1.000000e+00
32 1.000000e+00
33 0.000000e+00
34 0.000000e+00
35 0.000000e+00
36 0.000000e+00
37 0.000000e+00
38 0.000000e+00
39 1.000000e+00
40 1.000000e+00
41 0.000000e+00
42 0.000000e+00
43 0.000000e+00
44 1.000000e+00
45 1.000000e+00
46 0.000000e+00
47 0.000000e+00
48 0.000000e+00
49 0.000000e+00
50 0.000000e+00
51 0.000000e+00
52 0.000000e+00
53 1.000000e+00
54 0.000000e+00
55 0.000000e+00
56 0.000000e+00
57 0.000000e+00
58 1.000000e+00
59 1.000000e+00
60 1.000000e+00
61 0.000000e+00
62 0.000000e+00
63 0.000000e+00
64 1.000000e+00
65 0.000000e+00
66 0.000000e+00
67 0.000000e+00
68 0.000000e+00
69 1.000000e+00
70 1.000000e+00
71 0.000000e+00
72 0.000000e+00
73 0.000000e+00
74 0.000000e+00
75 0.000000e+00
76 0.000000e+00
77 0.000000e+00
78 0.000000e+00
79 0.000000e+00
80 0.000000e+00
81 0.000000e+00
82 0.000000e+00
83 0.000000e+00
84 0.000000e+00
85 0.000000e+00
86 0.000000e+00
87 1.000000e+00
88 0.000000e+00
89 0.000000e+00
90 1.000000e+00
91 0.000000e+00
92 0.000000e+00
93 0.000000e+00
94 0.000000e+00
95 1.000000e+00
96 0.000000e+00
97 0.000000e+00
98 0.000000e+00
99 0.000000e+00
100 0.000000e+00
;
